order_id,date,year,month,region,store,channel,segment,category,product_name,unit_price,quantity,discount_rate,revenue,margin_rate,profit,status
62F22229,2024-02-11,2024,2024-02,East,Store A,Offline,Corporate,Beauty,Conditioner,85.81,3,0.145,220.1,0.169,37.2,Completed
C830EC49,2025-02-25,2025,2025-02,West,Store E,Online,Consumer,Grocery,Coffee 500g,37.69,1,0.161,31.62,0.278,8.79,Completed
24288081,2024-08-24,2024,2024-08,West,Store C,Online,Corporate,Electronics,Laptop,674.8,2,0.069,1256.48,0.302,379.46,Completed
206C587D,2025-01-25,2025,2025-01,West,Store D,Online,Consumer,Grocery,Eggs 12,39.14,4,0.08,144.04,0.278,40.04,Completed
F0FE43F1,2025-06-12,2025,2025-06,East,Store A,Offline,Consumer,Electronics,Headphones,713.48,2,0.285,1020.28,0.328,334.65,Completed
01FA544B,2024-10-17,2024,2024-10,East,Store A,Offline,Consumer,Beauty,Sunscreen,50.2,5,0.183,205.07,0.153,31.38,Completed
CF2355D9,2024-09-27,2024,2024-09,West,Store E,Offline,Corporate,Home,Chair,28.07,5,0.185,114.39,0.315,36.03,Completed
9B1A7DEF,2024-02-08,2024,2024-02,North,Store B,Online,Corporate,Home,Cookware Set,215.98,2,0.138,372.35,0.279,103.89,Completed
176558FA,2024-05-24,2024,2024-05,South,Store C,Online,Consumer,Beauty,Lipstick,30.96,6,0.181,152.14,0.29,44.12,Completed
594C5774,2024-09-26,2024,2024-09,West,Store E,Online,Consumer,Beauty,Lipstick,18.87,3,0.105,50.67,0.259,13.12,Completed
9AF43346,2025-01-01,2025,2025-01,Central,Store E,Offline,Consumer,Electronics,Camera,697.53,3,0.019,2052.83,0.326,669.22,Returned
E3F511F7,2025-03-10,2025,2025-03,West,Store C,Offline,Consumer,Beauty,Lipstick,21.0,4,0.079,77.36,0.238,18.41,Completed
A1F3AD5D,2024-07-24,2024,2024-07,North,Store E,Online,Consumer,Apparel,Jeans,109.25,1,0.192,88.27,0.313,27.63,Completed
843925DB,2024-02-05,2024,2024-02,Central,Store E,Offline,Consumer,Beauty,Lipstick,61.7,2,0.037,118.83,0.28,33.27,Completed
E498BA59,2024-06-04,2024,2024-06,Central,Store E,Offline,Corporate,Home,Desk,187.07,3,0.195,451.77,0.309,139.6,Completed
5979E5A1,2025-05-06,2025,2025-05,East,Store A,Offline,SMB,Home,Lamp,48.66,2,0.15,82.72,0.275,22.75,Completed
F53A20D7,2024-04-25,2024,2024-04,South,Store A,Online,Consumer,Apparel,Hoodie,96.14,2,0.2,153.82,0.219,33.69,Completed
1C992B82,2024-09-01,2024,2024-09,South,Store B,Online,SMB,Electronics,Smartwatch,812.27,4,0.223,2524.54,0.231,583.17,Completed
680EAEE3,2025-05-17,2025,2025-05,East,Store E,Online,Consumer,Grocery,Rice 5kg,8.66,7,0.123,53.16,0.277,14.73,Completed
9CC36E6A,2024-01-14,2024,2024-01,North,Store C,Online,Consumer,Electronics,Smartphone,795.18,5,0.227,3073.37,0.249,765.27,Completed
94456ECB,2024-11-20,2024,2024-11,North,Store C,Online,SMB,Electronics,Camera,196.56,3,0.003,587.91,0.203,119.35,Completed
B6B4EBAC,2025-05-28,2025,2025-05,Central,Store E,Online,Consumer,Home,Vacuum,286.88,5,0.128,1250.8,0.21,262.67,Completed
616B5F1C,2024-05-04,2024,2024-05,East,Store B,Online,Corporate,Electronics,Laptop,427.62,3,0.245,968.56,0.189,183.06,Completed
9C0AF9D4,2024-10-23,2024,2024-10,East,Store B,Online,Corporate,Grocery,Pasta 1kg,27.19,4,0.242,82.44,0.183,15.09,Completed
23635BD9,2025-05-05,2025,2025-05,South,Store E,Online,Corporate,Grocery,Milk 1L,18.94,2,0.098,34.17,0.138,4.72,Completed
7E7A544C,2024-03-12,2024,2024-03,North,Store B,Offline,Corporate,Home,Chair,220.7,3,0.078,610.46,0.247,150.78,Completed
39603242,2024-10-09,2024,2024-10,North,Store E,Online,Consumer,Apparel,Jeans,15.62,1,0.141,13.42,0.21,2.82,Cancelled
C3C26509,2025-02-09,2025,2025-02,North,Store B,Offline,Consumer,Electronics,Laptop,681.47,3,0.039,1964.68,0.149,292.74,Completed
FCC6EC0E,2024-12-27,2024,2024-12,West,Store E,Online,Consumer,Electronics,Headphones,717.68,4,0.145,2454.47,0.255,625.89,Completed
6E668CE5,2024-09-09,2024,2024-09,West,Store A,Offline,Consumer,Electronics,Smartwatch,490.23,3,0.138,1267.73,0.276,349.89,Completed
62CB9940,2024-04-20,2024,2024-04,Central,Store A,Offline,Consumer,Electronics,Camera,468.06,5,0.251,1752.88,0.292,511.84,Completed
88F9885E,2024-09-22,2024,2024-09,Central,Store B,Online,SMB,Beauty,Serum,36.25,5,0.105,162.22,0.304,49.31,Completed
32CEDAB8,2024-07-20,2024,2024-07,North,Store C,Offline,Consumer,Electronics,Headphones,848.99,4,0.008,3368.79,0.363,1222.87,Completed
AADD0101,2024-09-14,2024,2024-09,North,Store B,Online,Consumer,Electronics,Headphones,752.64,5,0.181,3082.06,0.298,918.45,Completed
